Source_File,Run_Name,ISP_Loading_%,Total_Reads,Instrument,Chip_Barcode,Chip_Lot_Number,Chip_Wafer,Cleaning_Solution_Lot,ExT_Sequencing_Reagent_Lot,ExT_Wash_Solution_Lot,Run_Date_raw,Run_Date,Usable_Reads_%,Mean_Read_Length_bp,Median_Read_Length_bp,Mode_bp,Chef_Reagent_Lot,Chef_Solution_Lot
Auto_user_S5-00622-507-LIB-LT03-SEP-2025-348_257 (2).pdf,Auto user S5-00622-507-LIB-LT03-SEP-2025-348 257,91,22744613,S5-00622,DALE00661,Q42M81,14.0,3032377,2896638,3087052,"Sept. 24, 2025, 3:26 p.m.",2025-09-24 15:26:00,67.0,256.0,262.0,46.0,2917608,3050961
Auto_user_S5-00577-644-LIB-LT04-APOL1-04-SEP-2025-350_202 (2).pdf,Auto user S5-00577-644-LIB-LT04-APOL1-04-SEP-2025-350 202,91,23205787,S5-00577,DALE00677,Q42M81,14.0,3050961,2917608,3050961,"Sept. 26, 2025, 1:08 p.m.",2025-09-26 13:08:00,68.0,290.0,301.0,44.0,2917608,3050961
Auto_user_S5-00622-508-LIB-SEP-2025-355_258 (2).pdf,Auto user S5-00622-508-LIB-SEP-2025-355 258,83,20604550,S5-00622,DALE00664,Q42M81,14.0,3045091,2896638,2989306,"Sept. 27, 2025, 4:17 p.m.",2025-09-27 16:17:00,66.0,245.0,246.0,44.0,2917606,3050961
Auto_user_S5-00577-645-LIB-LT05-APOL1-05-SEP-2025-358_203 (2).pdf,Auto user S5-00577-645-LIB-LT05-APOL1-05-SEP-2025-358 203,90,22646030,S5-00577,DALE00675,Q42M81,14.0,3105205,2917606,3105205,"Oct. 1, 2025, 3:34 p.m.",2025-10-01 15:34:00,67.0,273.0,282.0,43.0,2917606,3105205
Auto_user_S5-00622-509-LIB-OCT-2025-363_259 (2).pdf,Auto user S5-00622-509-LIB-OCT-2025-363 259,79,17806460,S5-00622,DALE00685,Q42M81,14.0,3045091,2896638,2989306,"Oct. 3, 2025, 5 p.m.",2025-10-03 17:00:00,61.0,273.0,248.0,44.0,2917606,3105205
Auto_user_S5-00577-646-LIB-OCT-2025-367_204 (2).pdf,Auto user S5-00577-646-LIB-OCT-2025-367 204,82,21175384,S5-00577,DALE00649,Q42M81,14.0,3105205,2917606,3105205,"Oct. 7, 2025, 2:35 p.m.",2025-10-07 14:35:00,68.0,274.0,281.0,44.0,2917606,3105205
Auto_user_S5-00577-647-LIB-OCT-2025-369_205 (2).pdf,Auto user S5-00577-647-LIB-OCT-2025-369 205,87,21958804,S5-00577,DALE00666,Q42M81,14.0,3032377,2896638,3049977,"Oct. 8, 2025, 4:31 p.m.",2025-10-08 16:31:00,68.0,307.0,320.0,43.0,3077140,3105205
Auto_user_S5-00622-510-LIB-OCT-2025-373_261 (2).pdf,Auto user S5-00622-510-LIB-OCT-2025-373 261,84,19979864,S5-00622,DALE00660,Q42M81,14.0,3045091,2896638,3049977,"Oct. 11, 2025, 7:31 p.m.",2025-10-11 19:31:00,64.0,281.0,279.0,44.0,3077140,3050961
Auto_user_S5-00622-511-LIB-OCT-2025-376_262 (1) (2).pdf,Auto user S5-00622-511-LIB-OCT-2025-376 262,86,21028200,S5-00622,DALE00670,Q42M81,14.0,3045091,2896638,3049977,"Oct. 14, 2025, 4:01 p.m.",2025-10-14 16:01:00,65.0,253.0,266.0,44.0,3077140,3050961
Auto_user_S5-00577-648-LIB-LT02-OCT-2025-378_206 (2).pdf,Auto user S5-00577-648-LIB-LT02-OCT-2025-378 206,76,18336678,S5-00577,DALE00682,Q42M81,14.0,3032377,2896638,3087052,"Oct. 15, 2025, 11:19 a.m.",2025-10-15 11:19:00,64.0,224.0,252.0,46.0,3077140,3050961
Auto_user_S5-00622-512-LIB-OCT-378R_263 (2).pdf,Auto user S5-00622-512-LIB-OCT-378R 263,84,20238283,S5-00622,DALI02469,Q4PA01,4.0,2852502,2896638,3087052,"Oct. 16, 2025, 1:02 p.m.",2025-10-16 13:02:00,65.0,260.0,258.0,43.0,3077140,3050961
Auto_user_S5-00577-649-LIB-OCT-2025-381_207 (2).pdf,Auto user S5-00577-649-LIB-OCT-2025-381 207,86,21432808,S5-00577,DALI02515,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 17, 2025, 3:54 p.m.",2025-10-17 15:54:00,66.0,282.0,293.0,44.0,3077140,3050961
Auto_user_S5-00622-513-LIB-APOL1-02-OCT-2025-385_264 (3).pdf,Auto user S5-00622-513-LIB-APOL1-02-OCT-2025-385 264,88,20898459,S5-00622,DALI02474,Q4PA01,4.0,2852502,2896638,3087052,"Oct. 21, 2025, 4:12 p.m.",2025-10-21 16:12:00,64.0,273.0,268.0,44.0,3077140,3050961
Auto_user_S5-00622-513-LIB-APOL1-02-OCT-2025-385_264 (1) (2).pdf,Auto user S5-00622-513-LIB-APOL1-02-OCT-2025-385 264,88,20898459,S5-00622,DALI02474,Q4PA01,4.0,2852502,2896638,3087052,"Oct. 21, 2025, 4:12 p.m.",2025-10-21 16:12:00,64.0,273.0,268.0,44.0,3077140,3050961
Auto_user_S5-00577-650-LIB-OCT-2025-388_208 (2).pdf,Auto user S5-00577-650-LIB-OCT-2025-388 208,88,20773635,S5-00577,DALI02514,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 23, 2025, 4:08 a.m.",2025-10-23 04:08:00,63.0,299.0,302.0,43.0,3077140,3050961
Auto_user_S5-00577-651-LIB-LT03-OCT-2025-391_209 (2).pdf,Auto user S5-00577-651-LIB-LT03-OCT-2025-391 209,28,30269,S5-00577,DALI02471,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 25, 2025, 3:06 a.m.",2025-10-25 03:06:00,1.0,162.0,79.0,27.0,3077140,3050961
Auto_user_S5-00622-514-LIB-LT03-OCT-2025-391R_265 (2).pdf,Auto user S5-00622-514-LIB-LT03-OCT-2025-391R 265,89,20675470,S5-00622,DALI02501,Q4PA01,4.0,2852502,2896638,3087052,"Oct. 28, 2025, 3:16 p.m.",2025-10-28 15:16:00,62.0,256.0,265.0,44.0,3077140,3109381
Auto_user_S5-00577-652-LIB-LT04-APOL1-03-OCT-2025-396_210 (2).pdf,Auto user S5-00577-652-LIB-LT04-APOL1-03-OCT-2025-396 210,87,21239262,S5-00577,DALI02507,Q4PA01,4.0,3032377,2896638,3087052,"Oct. 29, 2025, 3:56 p.m.",2025-10-29 15:56:00,65.0,274.0,276.0,46.0,3077140,3109381
Auto_user_S5-00622-515-LIB-OCT-2025-398_266 (2).pdf,Auto user S5-00622-515-LIB-OCT-2025-398 266,83,21257274,S5-00622,DALI02504,Q4PA01,4.0,2852502,2896638,3087052,"Oct. 30, 2025, 3:25 p.m.",2025-10-30 15:25:00,68.0,243.0,245.0,43.0,3077140,3109381
Auto_user_S5-00577-653-LIB-OCT-2025-402_211 (2).pdf,Auto user S5-00577-653-LIB-OCT-2025-402 211,86,20872845,S5-00577,DALI02423,Q4PA01,3.0,3032377,2896638,3087052,"Nov. 1, 2025, 5:14 p.m.",2025-11-01 17:14:00,65.0,277.0,286.0,44.0,3077140,3109381
Auto_user_S5-00577-654-LIB-NOV-2025-411_212 (2).pdf,Auto user S5-00577-654-LIB-NOV-2025-411 212,84,20879898,S5-00577,DALI02459,Q4PA01,3.0,3032377,2896638,3087052,"Nov. 5, 2025, 3:09 p.m.",2025-11-05 15:09:00,66.0,300.0,309.0,44.0,3077140,3109381
Auto_user_S5-00577-655-LIB-NOV-2025-424_214 (2).pdf,Auto user S5-00577-655-LIB-NOV-2025-424 214,91,24319581,S5-00577,DALI02420,Q4PA01,3.0,3032377,2896638,3087052,"Nov. 8, 2025, 9:58 a.m.",2025-11-08 09:58:00,70.0,178.0,187.0,43.0,3077140,3109381
Auto_user_S5-00622-516-LIB-NOV-2025-428_267 (2).pdf,Auto user S5-00622-516-LIB-NOV-2025-428 267,86,20080824,S5-00622,DALI02450,Q4PA01,3.0,3045091,3051192,3087052,"Nov. 12, 2025, 4:55 p.m.",2025-11-12 16:55:00,62.0,254.0,252.0,44.0,3077140,3050961
LIB-NOV-2025-424R (2).pdf,LIB-NOV-2025-424R,2,429599,S5-00577,DALI02468,Q4PA01,4.0,3032377,3051192,3087052,"Nov. 13, 2025, 10:02 a.m.",2025-11-13 10:02:00,68.0,268.0,272.0,43.0,3077140,3109381
Auto_user_S5-00622-517-LIB-NOV-2025-432_270 (2).pdf,Auto user S5-00622-517-LIB-NOV-2025-432 270,84,20033291,S5-00622,DALI02496,Q4PA01,4.0,3045091,2896638,3087052,"Nov. 13, 2025, 3:41 p.m.",2025-11-13 15:41:00,63.0,249.0,244.0,43.0,3077140,3050961
Auto_user_S5-00622-518_272 (2).pdf,Auto user S5-00622-518 272,86,0,S5-00622,DALI02499,Q4PA01,,3045091,3051192,3087052,"Nov. 14, 2025, 10:22 a.m.",2025-11-14 10:22:00,0.0,,,,,
Auto_user_S5-00577-657-LIB-NOV-2025-434_216 (2).pdf,Auto user S5-00577-657-LIB-NOV-2025-434 216,10,2631691,S5-00577,DALI02476,Q4PA01,4.0,3032377,3051192,3087052,"Nov. 14, 2025, 4:46 p.m.",2025-11-14 16:46:00,69.0,296.0,314.0,44.0,3077140,3050961
Auto_user_S5-00622-519-LIB-NOV-2025-436_273 (2).pdf,Auto user S5-00622-519-LIB-NOV-2025-436 273,88,22045827,S5-00622,DALI02494,Q4PA01,4.0,3045091,2896638,3087052,"Nov. 15, 2025, 4:15 p.m.",2025-11-15 16:15:00,67.0,265.0,270.0,44.0,3077140,3050961
Auto_user_S5-00622-520-LIB-NOV-2025-441_274 (2).pdf,Auto user S5-00622-520-LIB-NOV-2025-441 274,83,20763954,S5-00622,DALI02478,Q4PA01,4.0,3032377,3051192,3087052,"Nov. 19, 2025, 3:34 p.m.",2025-11-19 15:34:00,67.0,266.0,267.0,43.0,3077140,3050961
Auto_user_S5-00622-521-LIB-NOV-2025-442_275 (2).pdf,Auto user S5-00622-521-LIB-NOV-2025-442 275,84,20762058,S5-00622,DALI02497,Q4PA01,4.0,3032377,3051192,3087052,"Nov. 20, 2025, 12:26 p.m.",2025-11-20 12:26:00,66.0,257.0,258.0,44.0,3077140,3050961
Auto_user_S5-00577-658-LIB-LT02-NOV-2025-453_219 (2).pdf,Auto user S5-00577-658-LIB-LT02-NOV-2025-453 219,88,22837945,S5-00577,DALE00673,Q42M81,14.0,3032377,2896638,3087052,"Nov. 25, 2025, 3:40 p.m.",2025-11-25 15:40:00,69.0,284.0,293.0,43.0,3077140,3105205
Auto_user_S5-00622-523-LIB-LT02-NOV-2025-453_277 (3).pdf,Auto user S5-00622-523-LIB-LT02-NOV-2025-453 277,87,22023753,S5-00622,DALE00658,Q42M81,14.0,3032377,2896638,3087052,"Nov. 25, 2025, 4:17 p.m.",2025-11-25 16:17:00,68.0,262.0,267.0,43.0,3077140,3105205
Auto_user_S5-00577-659-LIB-NOV-2025-455_220 (2).pdf,Auto user S5-00577-659-LIB-NOV-2025-455 220,84,21101804,S5-00577,DALE00653,Q42M81,14.0,3032377,2896638,3087052,"Nov. 26, 2025, 2:08 p.m.",2025-11-26 14:08:00,67.0,285.0,293.0,44.0,3077140,3105205
Auto_user_S5-00577-660-LIB-LT02-DEC-2025-463_221 (1) (2).pdf,Auto user S5-00577-660-LIB-LT02-DEC-2025-463 221,91,22323632,S5-00577,DALF00098,Q48H89,3.0,3032377,2896638,3087052,"Dec. 3, 2025, 6:46 p.m.",2025-12-03 18:46:00,66.0,294.0,286.0,46.0,3077140,3105205
Auto_user_S5-00622-524-LIB-LT01-DEC-2025-462_278 (2).pdf,Auto user S5-00622-524-LIB-LT01-DEC-2025-462 278,91,20789227,S5-00622,DALF00095,Q48H89,3.0,3032377,2896638,3087052,"Dec. 3, 2025, 6:54 p.m.",2025-12-03 18:54:00,61.0,286.0,275.0,46.0,3077140,3105205
Auto_user_S5-00622-525-LIB-DEC-2025-466_279 (2).pdf,Auto user S5-00622-525-LIB-DEC-2025-466 279,87,20692250,S5-00622,DALF00104,Q48H89,3.0,3032377,2896638,3087052,"Dec. 5, 2025, 3:53 p.m.",2025-12-05 15:53:00,63.0,267.0,268.0,44.0,3077140,3105205
Auto_user_S5-00577-661-LIB-APOL1-01-DEC-2025-469_222 (2).pdf,Auto user S5-00577-661-LIB-APOL1-01-DEC-2025-469 222,83,19251396,S5-00577,DALF00140,Q48H89,3.0,3032377,2896638,3087052,"Dec. 10, 2025, 3:54 p.m.",2025-12-10 15:54:00,63.0,317.0,293.0,44.0,3077140,3105205
Auto_user_S5-00622-526-LIB-LT03-DEC-2025-472_281 (2).pdf,Auto user S5-00622-526-LIB-LT03-DEC-2025-472 281,88,20473062,S5-00622,DALF00125,Q48H89,3.0,3032377,3051192,3087052,"Dec. 11, 2025, 3:40 p.m.",2025-12-11 15:40:00,62.0,236.0,222.0,46.0,3077140,3105205
Auto_user_S5-00577-662-LIB-DEC-2025-475_223 (2).pdf,Auto user S5-00577-662-LIB-DEC-2025-475 223,89,21762189,S5-00577,DALF00097,Q48H89,3.0,3032377,3051192,3087052,"Dec. 12, 2025, 3:23 p.m.",2025-12-12 15:23:00,65.0,263.0,270.0,44.0,3077140,3105205
Auto_user_S5-00577-663-LIB-DEC-2025-481_224 (2).pdf,Auto user S5-00577-663-LIB-DEC-2025-481 224,87,22009980,S5-00577,DALF00133,Q48H89,3.0,3032377,3051192,3087052,"Dec. 17, 2025, 3:28 p.m.",2025-12-17 15:28:00,68.0,271.0,282.0,43.0,3077140,3105205
Auto_user_S5-00577-664-LIB-LT04-APOL1-02-DEC-2025-484_225 (1) (2).pdf,Auto user S5-00577-664-LIB-LT04-APOL1-02-DEC-2025-484 225,90,20428427,S5-00577,DALF00135,Q48H89,3.0,3032377,3051192,3087052,"Dec. 19, 2025, 1:41 p.m.",2025-12-19 13:41:00,61.0,268.0,270.0,31.0,3077140,3105205
Auto_user_S5-00577-665-LIB-DEC-2025-488_226 (2).pdf,Auto user S5-00577-665-LIB-DEC-2025-488 226,84,21544706,S5-00577,DALF00136,Q48H89,3.0,3032377,3051192,3087052,"Dec. 23, 2025, 4:08 p.m.",2025-12-23 16:08:00,68.0,273.0,288.0,44.0,3077140,3105205
